Date,Open,High,Low,Close,Adj Close,Volume
Oct 11 2024,75.75,76.07,74.25,74.39,74.39,32799505
Oct 10 2024,77.50,77.89,74.67,75.44,75.44,71016473
Oct 9 2024,74.59,80.60,74.55,76.69,76.69,136134618
Oct 8 2024,68.10,74.20,66.10,73.64,73.64,135896990
Oct 7 2024,75.64,76.49,70.93,70.93,70.93,76807728
Oct 4 2024,74.85,76.65,72.22,74.67,74.67,77974009
Oct 3 2024,76.74,78.60,75.75,75.75,75.75,79766127
Oct 1 2024,80.30,81.53,79.50,79.74,79.74,27494973
Sep 30 2024,80.80,81.58,79.37,80.05,80.05,42376466
Sep 27 2024,81.75,82.77,80.50,81.09,81.09,42523359
Sep 26 2024,82.95,83.36,81.50,81.84,81.84,24929699
Sep 25 2024,83.70,83.70,82.50,82.96,82.96,27040040
Sep 24 2024,83.00,84.20,82.32,83.79,83.79,34414038
Sep 23 2024,84.19,84.99,82.70,82.89,82.89,35307207
Sep 20 2024,82.24,84.00,81.31,83.45,83.45,74313107
Sep 19 2024,81.89,83.00,78.00,80.97,80.97,60446356
Sep 18 2024,82.20,82.98,80.52,80.82,80.82,37668180
Sep 17 2024,85.18,85.40,80.57,82.00,82.00,61029140
Sep 16 2024,83.88,85.85,83.66,84.70,84.70,67945786
Sep 13 2024,82.14,84.50,80.80,83.11,83.11,82750388
Sep 12 2024,86.00,86.04,80.41,81.70,81.70,186025037
Sep 11 2024,79.34,81.95,79.10,81.95,81.95,121404214
Sep 10 2024,75.83,78.05,75.34,78.05,78.05,144759489
Sep 9 2024,75.28,77.28,72.82,74.34,74.34,87247821
Sep 6 2024,76.75,77.35,74.51,74.72,74.72,43635971
Sep 5 2024,75.70,77.09,74.66,76.00,76.00,56483144
Sep 4 2024,74.40,74.90,73.30,74.16,74.16,28321394
Sep 3 2024,73.81,76.37,73.54,74.47,74.47,49347993
Sep 2 2024,75.84,76.10,72.50,73.81,73.81,71966033
Aug 30 2024,77.30,77.58,75.12,75.84,75.84,63934257
Aug 29 2024,78.67,78.69,76.20,77.00,77.00,41938870
Aug 28 2024,77.95,79.73,77.66,78.96,78.96,47724768
Aug 27 2024,77.24,78.30,76.60,77.50,77.50,32622346
Aug 26 2024,79.34,79.79,75.66,76.40,76.40,57918809
Aug 23 2024,77.70,80.50,77.70,78.84,78.84,67410388
Aug 22 2024,79.23,79.59,77.30,77.57,77.57,41519353
Aug 21 2024,79.40,80.15,78.61,78.85,78.85,38869576
Aug 20 2024,81.31,81.58,78.50,79.43,79.43,54449596
Aug 19 2024,80.64,82.45,79.21,80.71,80.71,96552950
Aug 16 2024,77.95,80.50,74.12,79.95,79.95,155613726
Aug 14 2024,82.19,82.41,76.75,76.77,76.77,141960840
Aug 13 2024,81.97,84.29,78.35,80.79,80.79,193725637
Aug 12 2024,77.15,80.36,74.65,80.36,80.36,131256497
Aug 9 2024,74.60,76.56,73.00,76.54,76.54,142611445
Aug 8 2024,71.00,73.05,70.58,72.92,72.92,212956025
Aug 7 2024,69.00,69.58,68.11,69.58,69.58,65576822
Aug 6 2024,68.75,70.85,65.60,66.27,66.27,96665562
Aug 5 2024,69.90,71.64,67.78,67.85,67.85,209904382
Aug 2 2024,67.80,71.37,67.05,71.35,71.35,131096033
Aug 1 2024,69.93,70.99,66.22,67.98,67.98,134824650
Jul 31 2024,70.11,70.89,68.28,69.38,69.38,131539602
Jul 30 2024,65.81,68.22,65.63,68.22,68.22,114489676
Jul 29 2024,62.95,64.98,62.38,64.98,64.98,97886927
Jul 26 2024,62.68,63.00,61.00,61.89,61.89,67858407
Jul 25 2024,62.29,63.75,60.80,61.47,61.47,170325709
Jul 24 2024,59.70,60.72,59.63,60.72,60.72,90757700
Jul 23 2024,57.20,57.83,54.00,57.83,57.83,281887693
Jul 22 2024,54.66,55.44,53.50,55.08,55.08,47805246
Jul 19 2024,55.38,55.87,53.82,54.55,54.55,52178598
Jul 18 2024,55.50,55.72,53.82,55.39,55.39,68196637
Jul 16 2024,54.90,56.00,54.43,55.88,55.88,76577863
Jul 15 2024,55.00,55.00,54.02,54.62,54.62,27141448
